Segment Type,Importance,Text
paragraph,1.0,"A ce jour, dans le cadre de la prestation, le CLIENT mettra à disposition du PRESTATAIRE un maximum d’1 ordinateur paramétré par prestataire assurant la PRESTATION, packagé et équipé des licences nécessaires à la réalisation de la PRESTATION et une connexion externe aux installations du CLIENT afin d’assurer l’astreinte. Le CLIENT impose l’utilisation de : L’outil de ticketting « Service Now » uniquement pour le suivi des incidents, des problèmes et des demandes de service (Service et Change Requests) vers les services IT locaux et globaux Veeva QualityDOCS  pour la gestion et le suivi des procédures et autres documents TrackWise* Change qui supporte la validation des modifications des systèmes d’information classés GMP TrackWise* Event qui supporte la documentation des problèmes affectant des systèmes classés GMP. HP ALM pour la gestion des Test (écriture, approbation et exécution) *Note : l’outil de gestion des changes et event migrera vers une autre plateforme en 2024/2025. Le PRESTATAIRE doit présenter ses exigences en termes de moyens matériels et de connectivités pour l’exécution de la prestation. Le CLIENT se réserve le droit au cours de la PRESTATION de demander au PRESTATAIRE de s’équiper en licence et en matériel informatique, ceci fera l’objet d’une consultation ultérieure. "
title,1.0,Contexte technique
paragraph,1.0,Ce chapitre décrit le contexte technologique des applications comprises dans le spectre de la PRESTATION. 
subtitle,0.8,Périmètre applicatif de la PRESTATION
paragraph,1.0,"Le tableau définit le périmètre applicatif actuel ainsi que le niveau de prestation attendu. Aspects fonctionnels de la mission : La mission que nous souhaitons confier à notre partenaire sera d’assurer le support des solutions informatiques utilisées sur le site de Fegersheim : Aide aux utilisateurs, aide à l’extraction et à l’utilisations des données (reporting) Gestion des incidents sur les applications et infrastructures associées Gestion des problèmes (incidents récurrents) sur les applications et infrastructures associées: coordination des investigations, identification et mise en place de solution et documentation Monitoring hebdomadaire des interfaces (vérification de bon fonctionnement, gestions des erreurs) Suivi opérationnel (suivi des problématiques en cours – incidents et problèmes) lors des réunions hebdomadaires avec les équipes support à la production (process teams) Maintien de l’état de validation des solutions (maintien du package de validation en compliance avec les procédures Qualités et Sécurité définies par LILLY et réalisation des actions qualités périodiques nécessaire à ce maintien, telles que revues périodiques, test de restauration, revues d’audit trail systèmes, …) Gestion / documentation des déviations liées aux systèmes supportés Mise en œuvre des actions correctives immédiates Relation éditeurs, groupes de support Locaux ou Globaux. Gestion du cycle de vie Maintenance préventive et curative (en particulier gestion des mises à jour visant à prévenir des failles de sécurité identifiées, rotation périodique des mots de passe) Modification de données Gestion des compétences Gestion de l’activité Rapport d’activité hebdomadaire, mensuel et annuel Evolution mineure Etude d’impact Prototype technique Mise à jour de la documentation Réalisation Test Intégration Assistance aux tests Business Formation Mise en production des nouvelles versions. Niveaux d’intervention : Compétences de base (nécessaire pour tous les intervenants): A une très bonne maîtrise technique dans le cadre du support et de la maintenance des applications, Est capable de réaliser des développements techniques simples dans le cadre de la maintenance, Est autonome pour 100% des incidents /activités récurrentes /problèmes courants, Est autonome pour 50% des problèmes plus complexes, Assure la coordination en local, avec le global et avec les fournisseurs que ce soit en situation de support/ maintenance des applications ou en cas de développement pour un projet, Réalise des intégrations techniques dans le cadre du support/maintenance et dans le cadre de projets, Est capable d’assurer une astreinte dans son périmètre. Expertise A une excellente maîtrise technique pour développer de nouvelles applications / projets, Est capable de réaliser des développements techniques complexes dans le cadre du support et de la maintenance, Est capable sur les compétences dites « infrastructure » (Windows, SQL, …) d’intégrer les applications cœur de métier et, dans ce cadre, d’ajuster les paramètres et de faire de petits développements (ex : Requêtes SQL simples), Est autonome pour 100% des incidents / problèmes courants, Est autonome pour 90% des problèmes plus complexes, Assure la coordination en local, avec le global et avec les fournisseurs que ce soit en situation de support/ maintenance des applications ou en cas de développement pour un projet, Réalise des intégrations techniques dans le cadre du support/maintenance et dans le cadre de projets Outils & compétences dites cœur de métier requises en support et en projet : "
subtitle,0.8,Périmètre des activités à couvrir :
paragraph,1.0,"La TMA aura en charge le support d’un ensemble d’applications dont la dénomination se fera comme suit : Les applications développées localement : applications dont le code source a été développé par Lilly Les applications du marché : applications acquises auprès d’un éditeur de logiciel, paramétrées ou dont une partie du code source a été développée spécifiquement pour répondre au besoin Lilly. D’autre part ces applications pourront être Locales ou Globales. Application Locale : application dont la responsabilité du support est locale au site de Fegersheim. Application Globale : application utilisée sur différent sites Lilly et dont la réalisation du support contient une composante réalisée par un groupe de support global. Application Globale/Locale : ces applications sont utilisées sur différents sites Lilly, néanmoins une « customisation » a été réalisée spécifiquement pour le site de Fegersheim nécessitant un support local. "
subtitle,0.8,Les applications développées localement
paragraph,1.0,"Les applications appartenant à cet ensemble répondent à des besoins spécifiques du site de Fegersheim. Elles ont été entièrement développées localement, elles doivent être entièrement supportées par la TMA, c’est à dire qu’elle nécessite une forte implication dans toutes les dimensions du support : Implication technique        :	forte Implication fonctionnelle  :	forte Implication documentaire : 	forte Il est de la responsabilité de l’IT d’acquérir les licences et le support adéquat des outils de développement afin de permettre à la TMA d’assurer le support de ces applications sur des plates-formes techniques opérationnelles. "
subtitle,0.8,Les applications du marché (COTS) – Applications Locales
paragraph,1.0,"Les applications appartenant à cet ensemble répondent à des besoins spécifiques du site de Fegersheim. Elles ont été acquises sur le marché du logiciel, paramétrées afin de répondre aux besoins de nos services. Il est de la responsabilité de la société Lilly France d’acquérir un contrat de support d’un niveau de service suffisant auprès de l’éditeur afin de permettre à la TMA d’assurer sa mission auprès de l’IT. Il est demandé à la TMA d’assurer un rôle d’intégrateur de solution, c’est à dire : Coordination de la résolution d’incidents sur la solution (acteurs business, infrastructure, DBA, réseaux...) Transmettre à l’éditeur la description des problèmes rencontrés, le résultat de sa propre investigation, les délais et le mode de résolution souhaité. Suivre la correction des problèmes, de leur investigation (respect des délais) jusqu’à la mise en place d’un correctif Réceptionner et tester les mises à jour Réaliser la qualification et l’installation des nouvelles versions (correctives, évolutives) Assurer la mise à jour des documents En résumé, l’implication de la TMA sera : Implication technique 	  :	moyenne (être capable d’identifier la cause de l’incident et de de gérer les actions nécessaires à sa résolution) Implication fonctionnelle  :	moyenne Implication documentaire : 	moyenne "
subtitle,0.8,Les applications Globales
paragraph,1.0,"Les applications appartenant à cet ensemble répondent à des besoins communs à plusieurs sites. Elles sont fournies et supportées par les équipes de support global (que ce soit une application du marché – COTS, ou un développement spécifique global). Il est demandé à la TMA d’assurer un rôle d’intégrateur de solution, c’est à dire : Coordination de la résolution d’incidents sur la solution (équipe de support globale, acteurs business, infra, DBA, réseaux….) Transmettre à l’équipe du support globale la description des problèmes rencontrés, le résultat de sa propre investigation, les délais et le mode de résolution souhaité. Suivre la correction des problèmes, de leur investigation (respect des délais) jusqu’à la mise en place d’un correctif Réceptionner les mises à jour Réaliser la qualification et l’installation des nouvelles versions (correctives, évolutives), Assurer la mise à jour des documents En résumé, l’implication de la TMA sera : Implication technique        :	variable Implication fonctionnelle  :	moyenne Implication documentaire : 	moyenne "
subtitle,0.8,Les applications Globales/Locales
paragraph,1.0,Les applications appartenant à cet ensemble répondent à des besoins communs à plusieurs sites. Néanmoins une customisation particulière a été réalisée pour le site de Fegersheim. Elles sont fournies et supportées par les équipes de support global. Le mode de support de ce type d’application est identique aux applications globales. Une connaissance plus approfondie de l’intégration technique locale et l’effort de validation local nécessaire est néanmoins plus important que pour une application globale. 
subtitle,0.8,Liste des applications
paragraph,1.0,La liste des applications est fournie en annexe 1 
subtitle,0.8,La volumétrie
paragraph,1.0,Les chiffres fournis sont uniquement à titre indicatif de l’ordre de grandeur. 
subtitle,0.8,"Volumétrie des serveur, PC & bases de données*"
subtitle,0.8,La volumétrie des activités
subtitle,0.8,Volumétrie Projets & actions
paragraph,1.0,"Des projets feront l'objet de consultations supplémentaires, et sont donc hors scope de cette consultation. La volumétrie n'est pas connue à ce jour. A ce jour le site a plusieurs grands projets de mise en place de nouvelles lignes de production en cours. Tout périmètre confondu, le volume d’activité projets annuel se situait entre 3500 et 4000 jours sur les 2 dernières années. Exemples de tâches incluses dans les projets: Préparation des modification (rédaction du change control, analyse d’impact), rédaction de cahier des charges, des documents de design, du plan de test, du plan de sécurité, des documents de support, … Suivi éventuelle du fournisseur Préparation des environnements Développement, tests, mise en service Formation de l'équipe support "
subtitle,0.8,Planning prévisionnel de mise en œuvre
paragraph,1.0,Si la société historique remporte l’ensemble des lots du marché : Janvier – Février 2025 : Ajustement du fonctionnement au présent CDC et à la nouvelle organisation proposée. Si une nouvelle société remporte un ou plusieurs lots du marché : Décembre 2024 à Mars 2025 : Mise en place de la nouvelle organisation Transfert des compétences vers la(es) société(s) qui aura remporté l'offre Avril  2025 – Décembre 2027 : Production de la nouvelle TMA 
title,1.0,Contenu de la prestation
paragraph,1.0,Le chapitre suivant décrit les actions qui sont à la charge de PRESTATAIRE dans le cadre de la présente proposition sur le périmètre technique défini ci-dessus. 
subtitle,0.8,Organisation de l’équipe
paragraph,1.0,"Le PRESTATAIRE s’engage à pouvoir répondre à l’ensemble des sollicitations du CLIENT dans le cadre des activités décrites dans cette prestation. La prestation se déroulera dans un environnement international, il est donc demandé les qualifications suivantes : Documentation technique et qualité : français et anglais Contact avec utilisateurs : français Contacts avec groupes locaux / régionaux : français et anglais Rappel du cadre « Européen Commun de Référence pour les Langues » A1 : comprendre des expressions courantes, répondre à un questionnaire simple A2 : comprendre un vocabulaire fréquent relatif à ce qui me concerne, avoir des échanges brefs, écrire une lettre personnelle très simple B1 : comprendre l'actualité si l'on parle relativement lentement, prendre part à une conversation sans préparation, exprimer mes réactions B2 : suivre une argumentation complexe sur un sujet familier, communiquer avec un interlocuteur natif C1 : comprendre les émissions de télévision sans efforts, m'exprimer spontanément et couramment, écrire sur des sujets complexes C2 : comprendre une conversation orale quel que soit les conditions, participer à toute conversation, être à l'aise avec les expressions idiomatiques Il est demandé un niveau compris entre B2 et C2 pour le français, et supérieur ou égal à B2 pour l’anglais. Pour cela, le PRESTATAIRE décrira l’organisation de son équipe avec les profils retenus pour répondre au contexte, ainsi qu’une description de l’animation de l’équipe afin d’assurer la motivation des intervenants. Il est demandé au PRESTATAIRE de présenter l’Organigramme des métiers mobilisés ainsi que la répartition de l’équipe par profil. Le PRESTATAIRE proposera une organisation en prenant en compte que l’équipe suivi/pilotage et d’interaction avec les métiers devra être sur site CLIENT. Le PRESTATAIRE devra faire apparaître ses contraintes de réalisation de la prestation, notamment le délai de mobilisation de ressources supplémentaires au sein de l’équipe ou pour un besoin projet. "
subtitle,0.8,Les activités attendues de la PRESTATION
paragraph,1.0,"Dans le respect des niveaux de qualité de service attendus par le CLIENT, les activités attendues dans le lot annuel de la prestation sont : Pilotage de la prestation Qualité de la prestation Gestion et maintien des compétences/connaissances Activité incidents/problèmes Assistance aux utilisateurs / présence dans les comités de gouvernance opérationnelle (process team) Maintenance corrective et évolutions mineures Contrôles à l’exploitation Activités complémentaires Communication claire et efficace multi niveau et multi profils Maintien du package de validation documentaire en conformité avec le référentiel qualité Lilly L’ensemble des activités doit être effectué en respect du processus qualité spécifique à Fegersheim. Dans le cadre de la prestation, le PRESTATAIRE utilisera entre autres l’outil de gestion de tickets fourni par le CLIENT. Les activités présentées sont indicatives par rapport au périmètre et le PRESTATAIRE devra proposer dans son offre ses éléments de réponse et de couverture basés sur son retour d’expérience dans des contextes similaires de prestation. Il appartient au PRESTATAIRE de quantifier chacune de ces activités, de présenter les profils qui y seront associées ainsi que la répartition des profils/activités. "
subtitle,0.8,Pilotage de la prestation
paragraph,1.0,"L’activité de pilotage de la prestation est une activité essentielle de la PRESTATION. Il comprend Support fonctionnel et technique : Le PRESTATAIRE s’organisera pour apporter un support de proximité pour la partie fonctionnelle. Gestion de priorité des tâches : En coordination avec le « gestionnaire de la prestation », le PRESTATAIRE aura un processus de gestion de priorité des tâches adaptés et prenant en compte les priorités du client. Adaptation du niveau de ressource et d’expertise en fonction des demandes à traiter. Pilotage de la TMA : Le pilotage des services de la TMA devra se faire en autonomie à l’issue de la période de démarrage et transfert des connaissances. Animation des comités : Le PRESTATAIRE fournira des indicateurs mensuels sur la qualité de son service et la liste des actions correctives en cas d’écart par rapport aux objectifs négociés Le PRESTATAIRE décrira sa méthodologie de pilotage de la prestation sur l’ensemble des points précédents. Le CLIENT demande à minima les points d’interactions contractuels suivants : "
subtitle,0.8,Comités de pilotage de la prestation
paragraph,1.0,"Sur un rythme proposé par le PRESTATAIRE, ces comités seront préparés et animés par le PRESTATAIRE. Ils devront contenir au minimum les éléments imposés suivants : Les performances réalisées au vu des objectifs de niveau de service Les non conformités et les problèmes en rapport, par exemple, avec le contrat de service Les caractéristiques relatives à la charge de travail (ex volume, utilisation des ressources) Les rapports de performance Des informations relatives aux tendances L’analyse de satisfaction du client Un compte-rendu sera réalisé par le PRESTATAIRE en fin de comité. "
subtitle,0.8,Comités opérationnels
paragraph,1.0,"Sur un rythme proposé par le PRESTATAIRE, ces comités seront préparés et animés par le PRESTATAIRE. Ils devront contenir au minimum les éléments suivants : Tâches réalisées sur la semaine Tâches correctives planifiées sur les 2 prochaines semaines Définition et suivi des actions en cours Difficultés rencontrées Avancement des projets Point sur les livrables des projets Ces comités opérationnels pourront également être déclenchés à la demande par le CLIENT ou le PRESTATAIRE afin de traiter efficacement un sujet opérationnel. Un compte-rendu sera réalisé par le PRESTATAIRE en fin de comité. "
subtitle,0.8,Mode crise
paragraph,1.0,"Lors de projets cruciaux pour LE CLIENT ou lors d’incident bloquant ne trouvant pas de solution dans les délais attendus par LE CLIENT, le CLIENT peut déclencher le mode « Crise ». La réunion de crise permettra d'établir : Le mode de fonctionnement de la PRESTATION en mode dégradé, Le lieu de réalisation de la PRESTATION, le cas échéant, pendant la crise, La communication vers le CLIENT, Le plan d’actions pour rétablir la situation de fonctionnement normal, Des travaux extra-horaires qui pourront être nécessaires. Le comité de crise est composé de : Pour LE CLIENT : Le Gestionnaire de la prestation D’autres représentants, jugés nécessaires par le CLIENT. Pour le PRESTATAIRE : Un représentant hiérarchique, Le Responsable des Services, D’autres représentants, jugés nécessaires par le PRESTATAIRE. Le PRESTATAIRE   sera responsable de la rédaction du compte rendu et d’un Retour d’Expérience (REX) de cette crise. Le PRESTATAIRE décrira sa méthodologie de gestion de crise associée. "
subtitle,0.8,Qualité de la prestation
paragraph,1.0,"Le CLIENT a un système qualité complexe pour la sécurité des patients et par l’application des normes internes et externes au CLIENT. Cette connaissance de ce système qualité doit transparaître dans l’ensemble de la PRESTATION. Il appartient au PRESTATAIRE de maitriser ce système qualité, de mettre en place l’ensemble des processus et moyens humains pour former et maintenir cette maitrise tout au long de la PRESTATION. Cela passe notamment par les actions suivantes qui devront être expliquées dans l’offre : Processus de validation de livrable en interne prenant en compte le fait que le niveau de la documentation doit être adapté aux destinataires, certains interlocuteurs pouvant ne pas avoir de connaissance informatique, Méthodologie de formation aux processus du CLIENT, Propositions de simplifications des documents de validation, Rédaction et le maintien d’un PAQ imposé par le référentiel, La mise à jour des indicateurs qualité et de recueil satisfaction client. L’évaluation de la satisfaction client Il est attendu de la part du PRESTATAIRE que chaque livrable soit bon du premier coup. "
subtitle,0.8,Activité incident/événements qualité/problème
paragraph,1.0,"Sur sollicitions du CLIENT et dans le cadre de l’activité d’exploitation, le PRESTATAIRE assurera : Gestion des incidents, des problèmes et des évènements qualité: le PRESTATAIRE aura un objectif de délai de prise en compte des incidents, des problèmes et de résolution de ceux-ci.  Il communiquera de manière proactive sur la progression de la résolution des problèmes Support aux utilisateurs Rédaction de la documentation dans le respect des procédures de Validation, Change control, et Déviation Le PRESTATAIRE décrira dans son offre la méthodologie mise en place pour cette activité. "
subtitle,0.8,Contrôle à l’exploitation
paragraph,1.0,Cette activité permet : Le contrôle des performances des systèmes et des serveurs L’audit de performance à la demande Monitoring des interfaces Le PRESTATAIRE décrira dans son offre la méthodologie mise en place pour cette activité ainsi qu’un abaque de ce qui est habituel. 
subtitle,0.8,Maintenance corrective et évolutions mineures
paragraph,1.0,Chaque périmètre devra inclure une enveloppe permettant la prise en charge d’actions correctives et d’évolutions mineures ayant une charge limitée (jours facturés à l’utilisation). La gestion des jours d’action sera formalisée avec le gestionnaire de prestation et fera l’objet d’un suivi. Cette activité pourrait réaliser les tâches suivantes (liste non exhaustive) : Documentation de l’évolution Mise en production Exécution des « change control » Fiabilisation Amélioration de processus Nouvelle fonctionnalité Aide à la rédaction des Déviations 
subtitle,0.8,Activités complémentaires incluses dans la PRESTATION
paragraph,1.0,Il est demandé diverses activités complémentaires : Intégration et compagnonnage L’intégration des nouveaux projets dans le spectre de la TMA Maintien des connaissances et des compétences 
subtitle,0.8,Intégration et compagnonnage :
paragraph,1.0,Il est de la responsabilité du PRESTATAIRE d’opérer à l’accueil et à l’intégration d’une ressource pilotée dans le cadre de la PRESTATION ou dans le cadre des projets. Les demandes de moyens informatiques doivent être gérées dans le cadre de l’activité pilotage de la PRESTATION. L’attendu du CLIENT étant de privilégier une stabilité des équipes PRESTATAIRE afin de favoriser la capitalisation d’expérience. 
subtitle,0.8,L’intégration des nouveaux projets & actions dans le spectre de la TMA :
paragraph,1.0,Il est nécessaire à l’équipe de TMA de prendre en main les nouveaux projets ou l’évolution de projets existants qui seront délivrés au cours de l’année. Il est de la responsabilité du PRESTATAIRE d’identifier les informations nécessaires à demander à l’équipe projet et à valider que ces informations lui soient correctement transmises. 
subtitle,0.8,Maintien des connaissances et des compétences :
paragraph,1.0,"Le PRESTATAIRE s’engage à assurer la stabilité de l’équipe pour garantir le niveau de qualité attendu, selon les modalités suivantes : Maintenir les compétences de l’équipe sur toute la durée du contrat. Maintenir une disponibilité des profils requis pour la réversibilité. Maintien de la connaissance documentaire Le PRESTATAIRE proposera et décrira la méthodologie associée au maintien de la compétence dans le contexte de ce marché. "
subtitle,0.8,Projets et activités forfaitaires
paragraph,1.0,"Au cours de la réalisation de la PRESTATION, il sera demandé des activités complémentaires avec engagement de résultat sur base des devis effectués par l’activité pilotage et acceptés par le CLIENT. Le PRESTATAIRE devra apporter le détail des charges et les coûts pour démontrer une adéquation et une cohérence avec le périmètre du besoin exprimé. Pour les activités non-forfaitisées dans le cadre de ce présent cahier des charges, le PRESTATAIRE s’engage, à la suite d’une expression de besoin CLIENT, à envoyer sous un délai de 5 jours une réponse sous forme d’une liste de questions ou d’enveloppe budgétaire, et sous un délai maximum de 10 jours ouvrés un devis finalisé. A tout moment, le CLIENT se réserve le droit de soumettre à d’autres sous-traitants le chiffrage et la réalisation de ces activités complémentaires. Le PRESTATAIRE expliquera sa méthodologie pour garder une certaine capacité de montée en charge de l’équipe. "
subtitle,0.8,Amplitude horaire de la PRESTATION
paragraph,1.0,"7:30-18:30 Lundi au Jeudi 7:30-17:00 le Vendredi Astreinte 24/7/7 Sur les périmètres couverts par la TMA, il est attendu à ce qu'une proposition soit faite pour avoir au minimum un numéro d'appel unique pour chaque lot. Ponctuellement, le CLIENT peut être amené à demander des interventions de nuits ou le week-end qui verront l’objet de prise de commande d’unité d’œuvre supplémentaire. Le PRESTATAIRE proposera les conditions tarifaires applicables ainsi que les conditions de réalisation. "
title,1.0,Gestion de la consultation
subtitle,0.8,Cadre de la réponse
paragraph,1.0,Le cadre de la réponse devra respecter les attendus suivants : Respect des délais Le respect du plan proposé. La présence de l’ensemble des items demandés Ci-dessous le plan imposé de la réponse. Ci-dessous la grille tarifaire qui sera utilisée par le PRESTATAIRE pour le calcul des rémunérations forfaitaires : (*) La position et le coefficient sont ceux définis par le FEDERATION SYNTEC 
subtitle,0.8,Informations devant être précisées dans l’offre
subtitle,0.8,Phase de démarrage
paragraph,1.0,"Le PRESTATAIRE décrira sa méthodologie lui permettant d’acquérir la maîtrise du périmètre durant la phase de démarrage et ses attendus, ainsi que le niveau de service associé. "
subtitle,0.8,Plan de progrès
paragraph,1.0,"Le CLIENT souhaite que le PRESTATAIRE soit force de proposition sur son périmètre. Il appartient au PRESTATAIRE de définir dans son offre le processus permettant à l’équipe mise en place d’être régulièrement force de propositions de solutions et d’améliorations en termes d’organisation, de gestion de l’activité, de réduction des incidents, …. Les ressources mises en place par le CLIENT agiront de façon proactive et seront capables d’identifier ce qui est critique pour le business et la qualité attendue. Ces propositions d’évolutions devront être réalistes, le PRESTATAIRE sera évalué sur les ROI annuels effectivement constatés sur le terrain. Le PRESTATAIRE proposera et décrira la méthodologie associée ainsi les pistes de travail du plan de progrès dans le contexte de ce marché. "
subtitle,0.8,Réversibilité et Transférabilité
paragraph,1.0,"Compte tenu du fait que le PRESTATAIRE aura le contrôle des services délivrés et des moyens mis en œuvre, le PRESTATAIRE devra s’engager en outre, à assurer une bonne réversibilité à l’échéance du contrat. Le PRESTATAIRE assurera le transfert de connaissances, afin de permettre au CLIENT de reprendre sans difficulté, ou de faire reprendre la PRESTATION par un tiers désigné par le CLIENT, dans les meilleures conditions. Le PRESTATAIRE exécute le plan de réversibilité tel que décrit durant la phase de démarrage et validé par le CLIENT. Le PRESTATAIRE devra décrire dans son offre le plan de réversibilité proposé. Ce plan de réversibilité doit décrire à minima : Les conditions de lancement et de fin de la réversibilité, Les différentes étapes, Les revues nécessaires pour accepter le transfert des responsabilités vers le repreneur. Pendant la période de réversibilité, les prestations de TMA se poursuivent sous la responsabilité du PRESTATAIRE. LE CLIENT pilote la phase de réversibilité et coordonne les relations entre les PRESTATAIRES entrant et sortant. "
subtitle,0.8,Qualité de la prestation
paragraph,1.0,"Le PRESTATAIRE devra indiquer sa certification ISO 9001, et s’ils sont titulaires d’autres certifications (ISO 2000…). Il est attendu dans l’offre du PRESTATAIRE une description précise des éléments suivants : Un plan d’assurance qualité Les indicateurs qualité et de satisfaction "
